"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:23:30+02:00";null;null;null;null;null;2459.4805;null;null;null;null;null
"2019-10-02T09:23:31+02:00";null;null;null;2586.9097;null;null;null;null;null;null;null
"2019-10-02T09:23:40+02:00";null;2000.1699;null;null;null;null;null;null;null;null;null
"2019-10-02T09:23:46+02:00";null;null;null;null;null;null;null;null;null;2007.181;null
"2019-10-02T09:23:50+02:00";null;null;null;null;null;null;2073.9934;null;null;null;null
"2019-10-02T09:23:52+02:00";null;null;null;null;null;null;null;2185.4961;null;null;null
"2019-10-02T09:23:58+02:00";null;null;null;null;2091.3506;null;null;null;null;null;null
"2019-10-02T09:23:59+02:00";4651.8755;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:24:07+02:00";null;null;2082.6948;null;null;null;null;null;null;null;null
"2019-10-02T09:24:13+02:00";null;null;null;null;null;null;null;null;null;null;2544.4893
"2019-10-02T09:24:19+02:00";null;null;null;null;null;null;null;null;2481.792;null;null
"2019-10-02T09:24:30+02:00";null;null;null;null;null;2568.2158;null;null;null;null;null
"2019-10-02T09:24:31+02:00";null;null;null;2589.2603;null;null;null;null;null;null;null
"2019-10-02T09:24:40+02:00";null;2067.9258;null;null;null;null;null;null;null;null;null
"2019-10-02T09:24:46+02:00";null;null;null;null;null;null;null;null;null;2103.1909;null
"2019-10-02T09:24:50+02:00";null;null;null;null;null;null;2136.9065;null;null;null;null
"2019-10-02T09:24:52+02:00";null;null;null;null;null;null;null;2044.5671;null;null;null
"2019-10-02T09:24:58+02:00";null;null;null;null;2190.2048;null;null;null;null;null;null
"2019-10-02T09:24:59+02:00";4790.8623;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:25:07+02:00";null;null;2183.5977;null;null;null;null;null;null;null;null
"2019-10-02T09:25:13+02:00";null;null;null;null;null;null;null;null;null;null;2629.1528
"2019-10-02T09:25:19+02:00";null;null;null;null;null;null;null;null;2445.7205;null;null
"2019-10-02T09:25:30+02:00";null;null;null;null;null;2549.907;null;null;null;null;null
"2019-10-02T09:25:31+02:00";null;null;null;2504.9712;null;null;null;null;null;null;null
"2019-10-02T09:25:40+02:00";null;2107.9448;null;null;null;null;null;null;null;null;null
"2019-10-02T09:25:46+02:00";null;null;null;null;null;null;null;null;null;2126.4578;null
"2019-10-02T09:25:50+02:00";null;null;null;null;null;null;2118.7253;null;null;null;null
"2019-10-02T09:25:52+02:00";null;null;null;null;null;null;null;2127.1592;null;null;null
"2019-10-02T09:25:58+02:00";null;null;null;null;2054.3049;null;null;null;null;null;null
"2019-10-02T09:25:59+02:00";4655.9897;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:26:07+02:00";null;null;2053.8665;null;null;null;null;null;null;null;null
"2019-10-02T09:26:13+02:00";null;null;null;null;null;null;null;null;null;null;2559.1841
"2019-10-02T09:26:19+02:00";null;null;null;null;null;null;null;null;2500.2566;null;null
"2019-10-02T09:26:30+02:00";null;null;null;null;null;2456.2673;null;null;null;null;null
"2019-10-02T09:26:31+02:00";null;null;null;2499.5686;null;null;null;null;null;null;null
"2019-10-02T09:26:40+02:00";null;2132.1719;null;null;null;null;null;null;null;null;null
"2019-10-02T09:26:46+02:00";null;null;null;null;null;null;null;null;null;2126.3606;null
"2019-10-02T09:26:50+02:00";null;null;null;null;null;null;2262.3132;null;null;null;null
"2019-10-02T09:26:52+02:00";null;null;null;null;null;null;null;2196.3096;null;null;null
"2019-10-02T09:26:58+02:00";null;null;null;null;2164.9233;null;null;null;null;null;null
"2019-10-02T09:26:59+02:00";4704.189;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:27:07+02:00";null;null;2082.1504;null;null;null;null;null;null;null;null
"2019-10-02T09:27:13+02:00";null;null;null;null;null;null;null;null;null;null;2362.7302
"2019-10-02T09:27:19+02:00";null;null;null;null;null;null;null;null;2578.3672;null;null
"2019-10-02T09:27:30+02:00";null;null;null;null;null;2408.5872;null;null;null;null;null
"2019-10-02T09:27:31+02:00";null;null;null;2532.8809;null;null;null;null;null;null;null
"2019-10-02T09:27:40+02:00";null;2053.9631;null;null;null;null;null;null;null;null;null
"2019-10-02T09:27:46+02:00";null;null;null;null;null;null;null;null;null;2056.0422;null
"2019-10-02T09:27:50+02:00";null;null;null;null;null;null;2150.6577;null;null;null;null
"2019-10-02T09:27:52+02:00";null;null;null;null;null;null;null;2168.9431;null;null;null
"2019-10-02T09:27:58+02:00";null;null;null;null;2084.397;null;null;null;null;null;null
"2019-10-02T09:27:59+02:00";4617.8325;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:28:07+02:00";null;null;2165.6479;null;null;null;null;null;null;null;null
"2019-10-02T09:28:13+02:00";null;null;null;null;null;null;null;null;null;null;2551.821
"2019-10-02T09:28:19+02:00";null;null;null;null;null;null;null;null;2529.6409;null;null
"2019-10-02T09:28:30+02:00";null;null;null;null;null;2528.9143;null;null;null;null;null
"2019-10-02T09:28:31+02:00";null;null;null;2536.874;null;null;null;null;null;null;null
"2019-10-02T09:28:40+02:00";null;2153.6951;null;null;null;null;null;null;null;null;null
