"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T12:35:02+02:00";42.2;90;90;10
"2019-10-01T12:35:32+02:00";42.2;90;90;10
"2019-10-01T12:36:02+02:00";42.2;90;90;10
"2019-10-01T12:36:32+02:00";42.2;90;90;10
"2019-10-01T12:37:02+02:00";40.7;90;90;10
"2019-10-01T12:37:32+02:00";42.1;90;90;10
"2019-10-01T12:38:02+02:00";40.1;90;90;10
"2019-10-01T12:38:32+02:00";41.4;90;90;10
"2019-10-01T12:39:02+02:00";41.9;90;90;10
"2019-10-01T12:39:32+02:00";40.9;90;90;10
"2019-10-01T12:40:02+02:00";41.4;90;90;10
"2019-10-01T12:40:32+02:00";40.4;90;90;10
"2019-10-01T12:41:02+02:00";41.2;90;90;10
"2019-10-01T12:41:32+02:00";41.2;90;90;10
"2019-10-01T12:42:02+02:00";40.7;90;90;10
"2019-10-01T12:42:32+02:00";41.1;90;90;10
"2019-10-01T12:43:02+02:00";40.6;90;90;10
"2019-10-01T12:43:32+02:00";41.4;90;90;10
"2019-10-01T12:44:02+02:00";42;90;90;10
"2019-10-01T12:44:32+02:00";42.2;90;90;10
"2019-10-01T12:45:02+02:00";41.8;90;90;10
"2019-10-01T12:45:32+02:00";40.9;90;90;10
"2019-10-01T12:46:02+02:00";41.4;90;90;10
"2019-10-01T12:46:32+02:00";40.3;90;90;10
"2019-10-01T12:47:02+02:00";41.7;90;90;10
"2019-10-01T12:47:32+02:00";41.8;90;90;10
"2019-10-01T12:48:02+02:00";41.9;90;90;10
"2019-10-01T12:48:32+02:00";41.9;90;90;10
"2019-10-01T12:49:02+02:00";41;90;90;10
"2019-10-01T12:49:32+02:00";41.5;90;90;10
"2019-10-01T12:50:02+02:00";42;90;90;10
"2019-10-01T12:50:32+02:00";41.5;90;90;10
"2019-10-01T12:51:02+02:00";41.4;90;90;10
"2019-10-01T12:51:32+02:00";41.4;90;90;10
"2019-10-01T12:52:02+02:00";39.8;90;90;10
"2019-10-01T12:52:32+02:00";41.1;90;90;10
"2019-10-01T12:53:02+02:00";40.6;90;90;10
"2019-10-01T12:53:32+02:00";41;90;90;10
"2019-10-01T12:54:02+02:00";40.4;90;90;10
"2019-10-01T12:54:32+02:00";40.8;90;90;10
"2019-10-01T12:55:02+02:00";40.7;90;90;10
"2019-10-01T12:55:32+02:00";40.7;90;90;10
"2019-10-01T12:56:02+02:00";41.3;90;90;10
"2019-10-01T12:56:32+02:00";41.8;90;90;10
"2019-10-01T12:57:02+02:00";40;90;90;10
"2019-10-01T12:57:32+02:00";40.3;90;90;10
